id	snip	seed	A-size	A-both	B-size	B-both	C-size	C-both	D-size	D-both
25	3000	0	0.5726942395258952	0.12448062241651883	0.46995448367743836	0.06986914855121805	0.3770872532527454	0.04117796587411394	0.16157091465053625	0.005843647380525821
26	2000	0	0.5726846176510199	0.1231692972779936	0.469935065920019	0.06900337277560051	0.37709040899691165	0.04062621177076535	0.16156805208331898	0.00582730519685212
27	1000	0	0.5726874093180719	0.12216926066893244	0.46993597567997053	0.0682801592463648	0.37709679648096545	0.04027902457492639	0.1615566200686304	0.0057270700886253795
28	900	0	0.5726887215999797	0.12139072601158939	0.46993467894476587	0.06809361028477985	0.37708725957022043	0.0400499764255161	0.16155728530904456	0.005700025927955477
29	800	0	0.5726883072930835	0.12146363201811035	0.4699355226016704	0.06810103030100063	0.37708650133574817	0.03998553651641002	0.1615572877811088	0.005709861182677613
30	700	0	0.5726873456703211	0.12112240582204267	0.4699285345968536	0.06772331533207403	0.37708836994159883	0.03980055811416551	0.16156623764035374	0.005712092794184892
31	600	0	0.5726969692350262	0.12083633554826075	0.46993048212579	0.06744274612911631	0.37709046747294284	0.03961573772631473	0.1615681964848873	0.005657546145075274
32	500	0	0.5726999817289079	0.12020695549287785	0.46993133307275825	0.0670898972247856	0.37709059455058896	0.039399372595205095	0.16156016624381037	0.005604623828450735
33	400	0	0.5726921162017901	0.11957523716105817	0.4699368971945303	0.06682050399345041	0.3770866187316915	0.03925749026564727	0.1615570761980849	0.005575180421411388
34	300	0	0.5726827235220036	0.11832793166967885	0.4699397502430249	0.06602759624910963	0.3770925146934637	0.03885664939679635	0.16155952723793515	0.005528874363692322
35	200	0	0.5726764988381389	0.11680379331365276	0.4699936727336724	0.06514431787486082	0.3770866826175235	0.038397964007631236	0.16153827530545706	0.0054337097681004505
36	100	0	0.5726872877229825	0.11321474775030037	0.4699984161714758	0.06312760816265815	0.37706100086230665	0.03678503211284073	0.16154816305221353	0.005155687893802288
37	90	0	0.5726942748333713	0.11264208434727245	0.46998710198826726	0.06270345888977936	0.3770558702398936	0.036613021172954764	0.16154442531017485	0.00516159077083697
38	80	0	0.5727070588755928	0.11175712622801175	0.46995583082953485	0.06228028102711681	0.37706804650991993	0.03615852342871135	0.1615409023843443	0.0050977666178544795
39	70	0	0.5726802409109889	0.11082605983316496	0.46997506434437153	0.0613149433309239	0.3770825518824415	0.035957706350826416	0.16152855333092705	0.005048949061745172
40	60	0	0.5726658274600299	0.10924481357192821	0.46997195523716256	0.06057355746171264	0.3770950506752003	0.03546716152609667	0.1615204759403651	0.004956577068089053
41	50	0	0.5726854871092404	0.10793065797614326	0.4699794670547327	0.059635812651453686	0.37710419971350706	0.034799326095951315	0.16150708780563283	0.004882865844874194
42	40	0	0.5726916977313928	0.10556755420734228	0.4699628176922556	0.05844755184362889	0.37713316682830816	0.034125457638860976	0.1614900864662694	0.0046833999459214015
43	30	0	0.5727139074482591	0.10247641164793611	0.4699669605587167	0.05633228490728633	0.3771102328130306	0.032888243585433484	0.1614775676170249	0.004576276962845923
44	20	0	0.5727664587293513	0.0961348710446319	0.4699533418844816	0.052602795080254665	0.3770710775663789	0.03052428486363061	0.16148332404389806	0.004231470553574342
45	10	0	0.5727214293663734	0.07977341079245978	0.46998351309602254	0.043339931083114985	0.3770643014491466	0.02484233758857433	0.1614724801446749	0.0034727802526741823
